Taxon,Category
Swartzia fraterna,DD
Swartzia ingifolia,LC
Swartzia krukovii,EN
Swartzia laurifolia,LC
Swartzia macrocarpa,LC
Swartzia lucida,LC
Swartzia martii,LC
Swartzia oedipus,EN
Swartzia pernitida,DD
Swartzia tomentifera,LC
Swartzia obscura,LC
Swartzia ulei,LC
Swartzia velutina,DD
Tachigali argyrophylla,DD
Tachigali grandistipulata,DD
Senna lechriosperma,LC
Tachigali macrostachya,DD
Trischidium racemulosum,LC
Tachigali hypoleuca,LC
Vouacapoua americana,EN
Vouacapoua pallidior,LC
Zygia transamazonica,DD
Zygia trunciflora,LC
Zygia racemosa,LC
Dimorphandra exaltata,EN
Mimosa bracteolaris,DD
Cerradicola decumbens,LC
Dipteryx ferrea,VU
